id,idCurso,idEstudioNormalizadoBI,product_hierarchy_id
754,578346,1605,112
755,578347,1606,110
756,578348,1607,112
757,57842,63,91
758,579548,1609,105
759,579579,1610,1
760,579733,1611,1
761,579734,1613,1
762,579735,1612,1
763,580235,1615,104
764,580239,447,171
765,58328,101,136
766,58331,268,76
767,58345,16,112
768,587096,1617,152
769,587097,1618,153
770,587105,1622,59
771,587129,1654,29
772,587130,1653,29
773,587131,1628,21
774,587132,1629,22
775,587133,1630,20
776,587134,1631,20
777,587135,1632,20
778,587136,1633,19
779,587137,1634,19
780,587138,1635,19
781,587140,1636,19
782,587146,1637,19
783,587160,1379,90
784,587161,1639,17
785,587163,372,89
786,587165,1640,18
787,587169,1641,23
788,587170,1642,23
789,587172,1643,23
790,587176,1644,23
791,587183,1645,23
792,587184,1646,23
793,587206,871,89
794,587220,1648,25
795,587239,64,83
796,587277,1649,6
797,587281,1650,6
798,589768,1656,4
799,589769,1657,5
800,589770,1658,5
801,589771,1971,159
802,590579,1663,184
803,590657,1660,155
804,599448,1680,113
805,60375,162,97
806,60377,73,61
807,605881,1689,113
808,605962,1850,6
809,60615,58,85
810,609956,1697,161
811,609957,1698,161
812,609971,1699,161
813,609990,157,84
814,612849,1700,108
815,612850,1701,108
816,61899,944,39
817,641147,1654,29
818,656820,1715,107
819,656821,1716,107
820,656822,1717,107
821,658320,1723,60
822,662236,1727,165
823,673466,1729,174
824,673767,1735,169
825,673772,1736,164
826,673779,1737,164
827,673784,1738,164
828,673794,1739,165
829,673802,1740,169
830,673818,1741,169
831,673819,1742,171
832,67416,67,106
833,67417,68,106
834,67418,188,107
835,68141,43,113
836,68142,42,113
837,682517,1754,172
838,682518,1755,172
839,68287,149,77
840,687742,1764,6
841,688217,1772,23
842,688218,1773,23
843,688230,1774,23
844,688231,1775,23
845,688913,608,8
846,688914,609,9
847,688915,1793,12
848,688917,618,11
849,688919,1794,8
850,688922,613,9
851,688924,615,12
852,688928,619,10
853,690026,1776,23
854,690027,1777,18
855,690028,1778,18
856,690029,1779,17
857,69093,54,76
858,694602,1780,24
859,694623,1781,24
860,694626,1782,19
861,694639,1783,19
862,69463,164,108
863,694640,1784,19
864,694641,1785,22
865,694642,1786,22
866,694643,1787,20
867,694646,1788,20
868,694647,1789,22
869,694648,1790,154
870,69472,190,84
871,69473,27,84
872,69496,55,76
873,700520,1807,109
874,704552,1837,109
875,704641,1838,6
876,704642,1840,6
877,704643,1841,6
878,704645,1843,6
879,704646,1844,6
880,704695,1845,6
881,704700,1846,6
882,704713,1847,6
883,708415,1852,6
884,713037,1864,107
885,714520,1865,102
886,714520,1865,104
887,714520,1865,103
888,714520,1865,105
889,714520,1865,101
890,715725,1866,79
891,715726,1867,106
892,719613,1869,43
893,719614,1870,43
894,719616,1872,80
895,719617,1873,74
896,719618,794,171
897,72229,139,113
898,72236,58,85
899,72597,57,76
900,730731,1875,190
901,730741,1876,102
902,730741,1876,104
903,730741,1876,103
904,730741,1876,105
905,730741,1876,101
906,732361,1882,76
907,739313,151,172
908,7394,155,45
909,7399,156,45
910,740496,1891,89
911,74109,49,97
912,74717,151,172
913,74718,152,171
914,74721,153,171
915,74722,154,174
916,74723,150,174
917,74791,56,76
918,753558,1980,13
919,753664,1907,23
920,753665,1908,23
921,753666,1909,23
922,754531,1910,20
923,754532,1911,22
924,754533,1912,20
925,754534,1913,20
926,754535,1914,20
927,754536,1915,17
928,754537,1916,17
929,754538,1917,17
930,754539,1918,24
931,754540,1919,24
932,7545,26,41
933,755419,1920,19
934,755420,1921,19
935,755421,1922,19
936,755422,1923,19
937,755423,1924,19
938,75650,60,86
939,75651,142,79
940,75731,107,77
941,758582,1927,6
942,76031,163,117
943,76031,163,119
944,76031,163,118
945,76032,193,106
946,76033,131,91
947,76034,171,94
948,760670,151,172
949,760671,151,172
950,760682,151,172
951,760683,151,172
952,760750,151,172
953,760751,151,172
954,76679,405,113
955,7672,179,93
956,7673,20,60
957,7674,7,47
958,76793,113,119
959,76793,113,117
960,76793,113,118
961,76793,113,116
962,769371,1982,12
963,769385,1984,12
964,769457,58,85
965,769458,58,85
966,769466,1942,142
967,769517,1944,142
968,769518,1945,142
969,769520,1947,142
970,772592,1950,112
971,7762,133,53
972,777087,1951,111
973,777125,1953,37
974,777126,1954,35
975,777127,1955,37
976,777128,1956,37
977,777129,1957,37
978,777130,1958,37
979,777131,1959,33
980,777132,1960,34
981,777133,1961,37
982,778260,1962,113
983,778261,1963,80
984,778270,1964,156
985,783616,1974,47
986,786014,1985,6
987,786015,1986,6
988,786016,1987,6
989,78704,266,3
990,792488,1991,157
991,792489,1992,160
992,792490,1993,156
993,793009,1994,30
994,793010,1995,31
995,793011,1996,31
996,793012,1997,31
997,793013,1998,32
998,793014,1999,32
999,793015,2000,28
1000,793394,2001,154
1001,793395,2002,6
1002,793396,2003,151
1003,793397,2004,190
1004,793398,2005,186
1005,795877,2105,154
1006,795878,2106,108
1007,797436,2111,72
1008,798780,2119,6
1009,801472,2122,153
1010,801497,380,174
1011,809477,2336,13
1012,809570,2337,12
1013,810116,2338,12
1014,810646,2187,100
1015,81121,138,92
1016,812047,2191,36
